masked_number;description;mask;imported
03.81.00.000.000;SERVIÇOS BANCÁRIOS;99.99.99.999.999;true
03.83.00.000.000;SERVIÇOS DE CÓPIAS E REPRODUÇÃO DE DOCUMENTOS;99.99.99.999.999;true
03.85.00.000.000;SERVIÇOS EM ITENS REPARÁVEIS DE AVIAÇÃO;99.99.99.999.999;true
03.87.00.000.000;SERVIÇOS RELACIONADOS À INDUSTRIALIZAÇÃO AEROESPACIAL;99.99.99.999.999;true
03.88.00.000.000;SERVIÇOS DE PUBLICIDADE E PROPAGANDA;99.99.99.999.999;true
03.89.00.000.000;MANUTENÇÃO DE REPARTIÇÕES –SERVIÇO EXTERIOR;99.99.99.999.999;true
03.94.00.000.000;AQUISIÇÃO DE SOFTWARES DE APLICAÇÃO.;99.99.99.999.999;true
03.95.00.000.000;MANUTENÇÃO CONSERVAÇÃO DE EQUIPAMENTOS DE PROCESSAMENTO DE DADOS;99.99.99.999.999;true
03.96.00.000.000;OUTROS SERVIÇOS DE TERCEIROS PJ- PAGTO ANTECIPADO;99.99.99.999.999;true
03.97.00.000.000;DESPESAS DE TELEPROCESSAMENTO;99.99.99.999.999;true
03.99.00.000.000;OUTROS SERVIÇOS DE TERCEIROS, PESSO AJURÍDICA;99.99.99.999.999;true
04.00.00.000.000;EQUIPAMENTOS E MATERIAL PERMANENTE;99.99.99.999.999;true
04.02.00.000.000;AERONAVES;99.99.99.999.999;true
04.04.00.000.000;APARELHOS DE MEDIÇÃO E ORIENTAÇÃO;99.99.99.999.999;true
04.06.00.000.000;APARELHOS E EQUIPAMENTOS DE COMUNICAÇÃO;99.99.99.999.999;true
04.08.00.000.000;APARELHOS, EQUIPAMENTOS, UTENSÍLIOS MÉDICO-ODONTOLÓGICO, LABORATORIAL E HOSPITALAR;99.99.99.999.999;true
04.10.00.000.000;APARELHOS E EQUIPAMENTOS PARA ESPORTES E DIVERSÕES;99.99.99.999.999;true
04.12.00.000.000;APARELHOS E UTENSÍLIOS DOMÉSTICOS;99.99.99.999.999;true
04.14.00.000.000;ARMAMENTOS;99.99.99.999.999;true
04.18.00.000.000;COLEÇÕES E MATERIAIS BIBLIOGRÁFICOS;99.99.99.999.999;true
04.19.00.000.000;DISCOTECAS E FILMOTECAS;99.99.99.999.999;true
04.20.00.000.000;EMBARCAÇÕES;99.99.99.999.999;true
04.22.00.000.000;EQUIPAMENTOS DE MANOBRA E PATRULHAMENTO;99.99.99.999.999;true
04.24.00.000.000;EQUIPAMENTO DE PROTEÇÃO, SEGURANÇA E SOCORRO;99.99.99.999.999;true
04.26.00.000.000;INSTRUMENTOS MUSICAIS E ARTÍSTICOS;99.99.99.999.999;true
04.28.00.000.000;MÁQUINAS E EQUIPAM. DE NATUREZA INDUSTRIAL;99.99.99.999.999;true
04.30.00.000.000;MÁQUINAS E EQUIPAMENTOS ENERGÉTICOS;99.99.99.999.999;true
04.32.00.000.000;MÁQUINAS E EQUIPAMENTOS GRÁFICOS;99.99.99.999.999;true
04.33.00.000.000;EQUIPAMENTOS PARA ÁUDIO, VÍDEO E FOTO;99.99.99.999.999;true
04.34.00.000.000;MÁQUINAS, UTENSÍLIOS E EQUIPAMENTOS DIVERSOS;99.99.99.999.999;true
04.35.00.000.000;EQUIPAMENTOS DE PROCESSAMENTO DE DADOS;99.99.99.999.999;true
04.36.00.000.000;MÁQUINAS, INSTALAÇÕES E UTENS. DE ESCRITÓRIO;99.99.99.999.999;true
04.38.00.000.000;MÁQUINAS, FERRAMENTAS E UTENSÍLIOS DE OFICINA;99.99.99.999.999;true
04.39.00.000.000;EQUIPAMENTOS E UTENSÍLIOS HIDRÁULICOS E ELÉTRICOS;99.99.99.999.999;true
04.40.00.000.000;MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS E RODOVIÁRIOS;99.99.99.999.999;true
04.42.00.000.000;MOBILIÁRIO EM GERAL;99.99.99.999.999;true
04.44.00.000.000;OBRAS DE ARTE E PEÇAS PARA MUSEU;99.99.99.999.999;true
04.46.00.000.000;SEMOVENTES E EQUIPAMENTOS DE MONTARIA;99.99.99.999.999;true
04.48.00.000.000;VEÍCULOS DIVERSOS;99.99.99.999.999;true
04.50.00.000.000;VEÍCULOS FERROVIÁRIOS;99.99.99.999.999;true
04.51.00.000.000;PEÇAS NÃO INCORPORÁVEIS A IMÓVEIS;99.99.99.999.999;true
04.52.00.000.000;VEÍCULOS DE TRAÇÃO MECÂNICA;99.99.99.999.999;true
04.53.00.000.000;CARROS DE COMBATE;99.99.99.999.999;true
04.54.00.000.000;EQUIPAMENTOS, PEÇAS E ACESSÓRIOS AERONÁUTICOS;99.99.99.999.999;true
04.56.00.000.000;EQUIPAMENTOS, PEÇAS E ACESSÓRIOS DE PROTEÇÃO AO VÔO;99.99.99.999.999;true
04.57.00.000.000;ACESSÓRIOS PARA AUTOMÓVEIS;99.99.99.999.999;true
04.58.00.000.000;EQUIPAMENTOS DE MERGULHO E SALVAMENTO;99.99.99.999.999;true
04.60.00.000.000;EQUIPAMENTOS, PEÇAS E ACESSÓRIOSMARÍTIMOS;99.99.99.999.999;true
04.83.00.000.000;EQUIPAMENTOS E SISTEMA DE PROTEÇÃO E VIGILÂNCIA AMBIENTAL;99.99.99.999.999;true
04.89.00.000.000;EQUIPAMENTOS, SOBRESSALENTES DE MÁQUINAS, MOTOR DE NAVIOS DE ESQUADRA;99.99.99.999.999;true
04.99.00.000.000;OUTROS MATERIAIS PERMANENTES;99.99.99.999.999;true
