class_number;description;mask;imported
039400000000;AQUISIÇÃO DE SOFTWARES DE APLICAÇÃO.;99.99.99.999.999;true
039500000000;MANUTENÇÃO CONSERVAÇÃO DE EQUIPAMENTOS DE PROCESSAMENTO DE DADOS;99.99.99.999.999;true
039600000000;OUTROS SERVIÇOS DE TERCEIROS PJ- PAGTO ANTECIPADO;99.99.99.999.999;true
039700000000;DESPESAS DE TELEPROCESSAMENTO;99.99.99.999.999;true
039900000000;OUTROS SERVIÇOS DE TERCEIROS, PESSO AJURÍDICA;99.99.99.999.999;true
040000000000;EQUIPAMENTOS E MATERIAL PERMANENTE;99.99.99.999.999;true
040200000000;AERONAVES;99.99.99.999.999;true
040400000000;APARELHOS DE MEDIÇÃO E ORIENTAÇÃO;99.99.99.999.999;true
040600000000;APARELHOS E EQUIPAMENTOS DE COMUNICAÇÃO;99.99.99.999.999;true
040800000000;APARELHOS, EQUIPAMENTOS, UTENSÍLIOS MÉDICO-ODONTOLÓGICO, LABORATORIAL E HOSPITALAR;99.99.99.999.999;true
041000000000;APARELHOS E EQUIPAMENTOS PARA ESPORTES E DIVERSÕES;99.99.99.999.999;true
041200000000;APARELHOS E UTENSÍLIOS DOMÉSTICOS;99.99.99.999.999;true
041400000000;ARMAMENTOS;99.99.99.999.999;true
041800000000;COLEÇÕES E MATERIAIS BIBLIOGRÁFICOS;99.99.99.999.999;true
041900000000;DISCOTECAS E FILMOTECAS;99.99.99.999.999;true
042000000000;EMBARCAÇÕES;99.99.99.999.999;true
042200000000;EQUIPAMENTOS DE MANOBRA E PATRULHAMENTO;99.99.99.999.999;true
042400000000;EQUIPAMENTO DE PROTEÇÃO, SEGURANÇA E SOCORRO;99.99.99.999.999;true
042600000000;INSTRUMENTOS MUSICAIS E ARTÍSTICOS;99.99.99.999.999;true
042800000000;MÁQUINAS E EQUIPAM. DE NATUREZA INDUSTRIAL;99.99.99.999.999;true
043000000000;MÁQUINAS E EQUIPAMENTOS ENERGÉTICOS;99.99.99.999.999;true
043200000000;MÁQUINAS E EQUIPAMENTOS GRÁFICOS;99.99.99.999.999;true
043300000000;EQUIPAMENTOS PARA ÁUDIO, VÍDEO E FOTO;99.99.99.999.999;true
043400000000;MÁQUINAS, UTENSÍLIOS E EQUIPAMENTOS DIVERSOS;99.99.99.999.999;true
043500000000;EQUIPAMENTOS DE PROCESSAMENTO DE DADOS;99.99.99.999.999;true
043600000000;MÁQUINAS, INSTALAÇÕES E UTENS. DE ESCRITÓRIO;99.99.99.999.999;true
043800000000;MÁQUINAS, FERRAMENTAS E UTENSÍLIOS DE OFICINA;99.99.99.999.999;true
043900000000;EQUIPAMENTOS E UTENSÍLIOS HIDRÁULICOS E ELÉTRICOS;99.99.99.999.999;true
044000000000;MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS E RODOVIÁRIOS;99.99.99.999.999;true
044200000000;MOBILIÁRIO EM GERAL;99.99.99.999.999;true
044400000000;OBRAS DE ARTE E PEÇAS PARA MUSEU;99.99.99.999.999;true
044600000000;SEMOVENTES E EQUIPAMENTOS DE MONTARIA;99.99.99.999.999;true
044800000000;VEÍCULOS DIVERSOS;99.99.99.999.999;true
045000000000;VEÍCULOS FERROVIÁRIOS;99.99.99.999.999;true
045100000000;PEÇAS NÃO INCORPORÁVEIS A IMÓVEIS;99.99.99.999.999;true
045200000000;VEÍCULOS DE TRAÇÃO MECÂNICA;99.99.99.999.999;true
045300000000;CARROS DE COMBATE;99.99.99.999.999;true
045400000000;EQUIPAMENTOS, PEÇAS E ACESSÓRIOS AERONÁUTICOS;99.99.99.999.999;true
045600000000;EQUIPAMENTOS, PEÇAS E ACESSÓRIOS DE PROTEÇÃO AO VÔO;99.99.99.999.999;true
045700000000;ACESSÓRIOS PARA AUTOMÓVEIS;99.99.99.999.999;true
045800000000;EQUIPAMENTOS DE MERGULHO E SALVAMENTO;99.99.99.999.999;true
046000000000;EQUIPAMENTOS, PEÇAS E ACESSÓRIOSMARÍTIMOS;99.99.99.999.999;true
048300000000;EQUIPAMENTOS E SISTEMA DE PROTEÇÃO E VIGILÂNCIA AMBIENTAL;99.99.99.999.999;true
048900000000;EQUIPAMENTOS, SOBRESSALENTES DE MÁQUINAS, MOTOR DE NAVIOS DE ESQUADRA;99.99.99.999.999;true
049900000000;OUTROS MATERIAIS PERMANENTES;99.99.99.999.999;true
